,mean_loss,std_loss,min_loss,max_loss,count,cv
3FD4_B,0.6274789055188497,0.03303614782147118,0.572388768196106,0.7312034964561462,30,0.05264901741063989
3C9G_A,0.6433990101019541,0.03150816437403818,0.5925130844116211,0.7312034964561462,30,0.048971421900455434
3NS1_A,0.6397823234399159,0.03322946924945046,0.5814893245697021,0.7312034964561462,30,0.051938711077207725
1Q6I_B,0.6249186178048451,0.0374268228615672,0.5811876058578491,0.7312034964561462,30,0.05989071503908235
3HJ5_B,0.6123906846704155,0.029515289736664528,0.5715850591659546,0.7212060689926147,29,0.04819683002289536
3DTO_C,0.61902743379275,0.03154353337128602,0.5667463541030884,0.7212060689926147,30,0.05095660006216586
1UIJ_A,0.6081433335940043,0.02882185874915939,0.5751665830612183,0.7212060689926147,30,0.047393200183298935
2PQS_A,0.6219874898592631,0.04058402262408568,0.5581227540969849,0.7212060689926147,30,0.06524893713419962
2VH5_HL,0.6201320827007294,0.03738873481042751,0.5658311247825623,0.7275227904319763,30,0.060291566673338855
3DGC_L,0.6317221959431966,0.03214612421879398,0.5809847116470337,0.7275227904319763,30,0.05088648843626275
3AFF_A,0.6105078061421713,0.034078339901321184,0.5602846145629883,0.7275227904319763,30,0.05581966284209187
2OCV_B,0.6299127519130707,0.031182106870272376,0.5795943140983582,0.7275227904319763,30,0.04950226325085664
2GR7_D,0.6260068615277609,0.02961010690987858,0.5822824835777283,0.7296442985534668,30,0.0472999718207809
3CAE_G,0.6265828669071197,0.028590390842607595,0.5718734860420227,0.7296442985534668,30,0.045629065767043446
1TDQ_B,0.6169974565505981,0.038279815809577566,0.5667597055435181,0.7296442985534668,30,0.06204209661347016
2Z8V_D,0.6219082693258922,0.03288755800960826,0.5778388977050781,0.7296442985534668,30,0.052881686306014586
3Q9U_A,0.6261075715223948,0.03231958495816985,0.5768236517906189,0.722430408000946,30,0.05161985963463761
2F4M_A,0.6144422133763631,0.03276674604440969,0.5690325498580933,0.722430408000946,30,0.053327628426367804
1EHI_A,0.6112204213937124,0.027271116939440385,0.5590023398399353,0.722430408000946,30,0.04461748329228995
1DVF_D,0.6273075679937998,0.03459449309415639,0.5795453190803528,0.722430408000946,30,0.05514757809282211
2OL5_B,0.633790789047877,0.032384313900810924,0.5872257351875305,0.7268790602684021,30,0.051096220488563444
1WDW_A,0.6383495310942332,0.034950579198367096,0.5935161113739014,0.7268790602684021,30,0.054751476261690385
1JTD_B,0.6220186193784077,0.0376251348800633,0.5718069672584534,0.7268790602684021,30,0.06048875983433204
5B64_A,0.6170033117135366,0.03719235180699921,0.5454051494598389,0.7268790602684021,30,0.06027901487871906
1MAS_B,0.6421266833941142,0.03390014835682805,0.5635257363319397,0.720469057559967,30,0.0527935518543486
1U6J_H,0.6290945728619893,0.03213705267088925,0.589383065700531,0.720469057559967,30,0.051084612802627806
2ARJ_Q,0.630088762442271,0.027661207761775976,0.5856634974479675,0.720469057559967,30,0.04390049372497785
2ZFD_A,0.6021450420220693,0.033094350484831635,0.5513303875923157,0.720469057559967,30,0.05496076223379198
3KCP_A,0.6190685431162516,0.038739736893032665,0.5621938705444336,0.7147806286811829,30,0.06257745983671785
3SPS_C,0.6263385792573293,0.029348756193317407,0.5873115658760071,0.7147806286811829,30,0.04685765361622338
1I1D_C,0.6162323335806529,0.027803607418266284,0.576270341873169,0.7147806286811829,30,0.0451187091347704
3EUH_D,0.6194771528244019,0.041221905500775764,0.5663756132125854,0.7159029841423035,30,0.06654306024496856
1Y3D_E,0.6097320020198822,0.031620683149725805,0.5667053461074829,0.7287969589233398,30,0.051859969699761164
1BUH_A,0.6322494526704152,0.028549150083709885,0.5824681520462036,0.7287969589233398,30,0.0451548830341056
3SXY_A,0.6185085892677307,0.031037962910177165,0.5834990739822388,0.7287969589233398,30,0.050181943223979904
2JRI_A,0.6617677330970764,0.018831323048016258,0.6313779950141907,0.7287969589233398,30,0.028456091323591087
3LA2_A,0.6110934992631276,0.03196280329966271,0.5657064914703369,0.7219811081886292,30,0.05230427641302728
1N1E_A,0.6119122286637624,0.03016896380687025,0.580993115901947,0.7219811081886292,30,0.049302763359951894
1VHZ_B,0.6308091481526693,0.03380884653366435,0.583893358707428,0.7219811081886292,30,0.053595999095247565
3CQ9_C,0.6142618536949158,0.03573906100380343,0.5704559087753296,0.7219811081886292,30,0.05818212670838238
5LWY_A,0.7107896407445272,0.029056086089505037,0.6511198878288269,0.7592700719833374,30,0.04087860095860402
2HTB_D,0.6414821068445842,0.04126047136008177,0.5759662389755249,0.7328270673751831,30,0.0643205335267102
1P4O_B,0.6227395931879679,0.030754185458587227,0.5739069581031799,0.717992901802063,30,0.04938530614562093
3FJK_B,0.6306118766466776,0.03029275979934344,0.5751907229423523,0.717992901802063,30,0.04803709051663805
1SND_A,0.622567880153656,0.03001492509413112,0.5779742002487183,0.7241775393486023,30,0.04821148994503721
2RBD_A,0.6416904191176097,0.04063328374846578,0.5817957520484924,0.7241775393486023,30,0.0633222540619209
