1A14_N: surface=603, graph=388
1AKJ_AB: surface=786, graph=374
1BHW_A: surface=778, graph=392
1BIH_B: surface=815, graph=391
1C7N_C: surface=695, graph=394
1C7N_D: surface=692, graph=394
1CQI_B: surface=763, graph=385
1DE4_AB: surface=762, graph=371
1EI1_A: surface=735, graph=391
1EI1_B: surface=733, graph=391
1EZ1_A: surface=664, graph=389
1EZ1_B: surface=660, graph=389
1F51_AB: surface=754, graph=363
1FBV_A: surface=779, graph=388
1FZ0_C: surface=758, graph=388
1G5G_D: surface=832, graph=357
1G5H_A: surface=837, graph=399
1GP2_BG: surface=686, graph=393
1H6D_A: surface=744, graph=383
1HWL_B: surface=742, graph=398
1I2M_B: surface=630, graph=388
1I4D_AB: surface=798, graph=373
1JR3_D: surface=747, graph=338
1K4R_C: surface=806, graph=395
1LDC_B: surface=747, graph=382
1M1J_C: surface=927, graph=390
1M1T_A: surface=634, graph=392
1M1T_B: surface=636, graph=392
1NA6_A: surface=754, graph=365
1NA6_B: surface=789, graph=395
1NCA_N: surface=618, graph=389
1NCB_N: surface=611, graph=389
1NMB_N: surface=608, graph=388
1OAN_A: surface=816, graph=394
1OAN_B: surface=810, graph=394
1OJ7_A: surface=647, graph=390
1OJ7_D: surface=651, graph=390
1QHH_B: surface=790, graph=261
1QXO_B: surface=805, graph=376
1QXO_D: surface=796, graph=376
1RER_A: surface=821, graph=391
1RER_C: surface=824, graph=391
1SC6_A: surface=758, graph=382
1SIE_F: surface=854, graph=354
1SP8_C: surface=688, graph=386
1SP8_D: surface=696, graph=393
1SQB_C: surface=831, graph=378
1T11_A: surface=849, graph=376
1T9G_B: surface=691, graph=387
1T9G_C: surface=718, graph=388
1UM0_B: surface=805, graph=365
1UMF_B: surface=809, graph=365
1UMF_D: surface=789, graph=365
1UP4_B: surface=762, graph=396
1UP6_D: surface=771, graph=397
1W3B_A: surface=770, graph=388
1W3B_B: surface=742, graph=368
1WDM_D: surface=616, graph=390
1WDW_H: surface=650, graph=385
1WKH_A: surface=678, graph=387
1WKH_B: surface=678, graph=387
1WKV_B: surface=639, graph=383
1XXI_B: surface=771, graph=364
1XXI_C: surface=765, graph=366
1XXI_D: surface=753, graph=364
1Y10_B: surface=811, graph=357
1YE9_F: surface=765, graph=256
1YEW_I: surface=825, graph=382
1YKJ_A: surface=689, graph=394
1YKJ_B: surface=692, graph=392
2A1S_A: surface=862, graph=391
2A1S_D: surface=857, graph=392
2A5H_C: surface=845, graph=400
2AEP_A: surface=597, graph=388
2AXT_A: surface=829, graph=335
2AXT_D: surface=821, graph=340
2AYO_A: surface=788, graph=355
2B4C_G: surface=761, graph=339
2BWN_D: surface=692, graph=397
2BWN_E: surface=700, graph=398
2DE5_B: surface=735, graph=389
2E1M_A: surface=842, graph=356
2ESM_B: surface=827, graph=398
2HA9_B: surface=748, graph=398
2HTY_D: surface=563, graph=385
2HZG_A: surface=640, graph=393
2HZG_B: surface=646, graph=391
2I14_C: surface=782, graph=389
2I14_D: surface=779, graph=389
2IIR_I: surface=779, graph=400
2IIR_J: surface=775, graph=400
2IJZ_G: surface=768, graph=379
2IJZ_J: surface=767, graph=379
2IMB_A: surface=772, graph=393
2INU_B: surface=634, graph=395
2INU_C: surface=633, graph=395
2IU9_A: surface=755, graph=346
2IU9_B: surface=744, graph=345
2J0Q_B: surface=702, graph=390
2J9F_A: surface=795, graph=383
2J9F_C: surface=793, graph=383
2NNW_A: surface=760, graph=350
2NQL_B: surface=672, graph=388
2OR0_B: surface=717, graph=397
2OZA_A: surface=750, graph=332
2PM7_A: surface=862, graph=336
2PP0_B: surface=667, graph=395
2PP0_C: surface=667, graph=395
2PP1_A: surface=664, graph=395
2PP1_B: surface=663, graph=395
2PVZ_B: surface=645, graph=386
2QJF_B: surface=741, graph=391
2QS8_A: surface=712, graph=394
2QS8_B: surface=714, graph=393
2QYO_A: surface=801, graph=353
2QYO_B: surface=789, graph=352
2V0O_A: surface=751, graph=273
2VGL_M: surface=870, graph=396
2VUN_C: surface=583, graph=385
2VUN_D: surface=581, graph=385
2W27_B: surface=862, graph=395
2WJ8_E: surface=795, graph=374
2X0D_A: surface=753, graph=371
2X0D_B: surface=742, graph=371
2XTS_C: surface=706, graph=389
2XWX_A: surface=764, graph=385
2XWX_B: surface=766, graph=385
2Y0F_B: surface=776, graph=394
2Y8S_A: surface=739, graph=386
2Y8T_D: surface=772, graph=395
2Y9X_B: surface=678, graph=391
2Z6E_C: surface=934, graph=379
2Z6E_D: surface=974, graph=390
2Z9V_A: surface=635, graph=392
2Z9V_B: surface=642, graph=392
2ZBK_A: surface=786, graph=347
2ZBK_C: surface=789, graph=347
2ZC6_D: surface=667, graph=384
